Frequency_Hz,R_Ohm_per_m,L_H_per_m,G_S_per_m,C_F_per_m,LineLength_m,ZL_Real_Ohm,ZL_Imag_Ohm,Alpha_Np_per_m,Beta_rad_per_m,Z0_Real_Ohm,Z0_Imag_Ohm,Wavelength_m,Gamma_Real,Gamma_Imag,Gamma_Magnitude,VSWR,ReturnLoss_dB,Zin_Real_Ohm,Zin_Imag_Ohm,IncidentPower_W,ReflectedPower_W,LoadPower_W,PowerReflectionCoefficient,PowerTransmissionCoefficient,Attenuation_dB
2185430534.81313,1.90389289749934,3.79397273815132e-07,0.00598658484197037,3.96435416840629e-11,16.4434575132841,30.4550501902759,73.235229154987,0.30255285781067,53.2545031974276,97.8231464697113,0.52000822398586,0.11798411270285,-0.149746971387428,0.652954644930628,0.669905906658681,5.05887848448106,3.47972385907685,97.8171567287222,0.518205607684899,0.00511126474708942,0.00229380233601023,0.00281746241107919,0.44877392377619,0.55122607622381,43.2129808366311
3205017552.84444,1.43074152670229,5.92630224331111e-08,0.00969909852161994,1.6816410175208e-10,22.0215719571493,52.7284940972781,-63.3190980293132,0.129145879896892,63.5724539091165,18.7725974467866,0.0156303874935149,0.0988350287085356,0.705852914579776,-0.260860231306078,0.75251338678978,7.08124517951669,2.46971539621808,18.7311782382169,0.101760300782787,0.0266345667623948,0.0150825265097973,0.0115520402525975,0.566276397297825,0.433723602702175,24.7029430639136
1869090093.31792,1.07327504168286,2.44375258388952e-07,0.00291229140198042,1.26252049997252e-10,14.8098922045521,72.5860367363393,-26.7276313412617,0.0762615249873924,65.2316069870551,43.9955606743152,0.0349814087589256,0.0963211792164871,0.282966619137819,-0.164772865267288,0.327444964344665,1.97373433246427,9.6972336807696,41.5389115062214,1.62543486660904,0.011364782999388,0.00121853435927769,0.0101462486401103,0.107220204674679,0.892779795325321,9.8101852409351
2552314928.97666,1.58109312471638,1.39853201971262e-07,0.00514234438413612,1.22558768083788e-10,5.59859085927978,129.358073342259,-65.8951752625417,0.110257583883983,66.3930665114062,33.7802707365169,0.0322840625123188,0.094636166656049,0.644047296785686,-0.144102494247665,0.659971551921254,4.88186080106105,3.60949568643215,25.6479901801623,-8.12283759072655,0.0148015391557976,0.00644699464878029,0.00835454450701733,0.435562449345348,0.564437550654652,5.36175576188431
792732168.433758,1.900326797644,4.84534414883552e-07,0.00808397348116461,6.78766161429404e-11,10.669539286632,143.161944772188,-11.9695012520797,0.352727409000758,28.5665489306434,84.4716963674953,0.976497226307873,0.219949050283761,0.259967864924142,-0.0443175738093772,0.263718293149274,1.71635161024784,11.5771948756341,84.4948062580399,0.970046912567512,0.00591914240510506,0.000411660598355927,0.00550748180674913,0.0695473381415666,0.930452661858433,32.6892307006386
1049172056.8015,1.01559497471698,6.54748345018483e-08,0.00909320402078782,5.91681965040032e-11,66.5897061510442,76.107993696094,4.01360423556216,0.166500517850074,12.9757299613896,33.2591238871893,0.348501886922401,0.484225960764884,0.392501557121082,0.0178570026018101,0.392907552592713,2.29439117310948,8.11419245925311,33.2591238932267,0.348501885897302,0.0150334687617129,0.00232081195836697,0.0127126568033459,0.154376344884395,0.845623655115605,96.3035977636013
2960196257.04476,0.410466188274778,4.86313082494051e-07,0.00775132823361115,1.88504798897196e-10,89.5879076923372,127.621996185995,84.3748470046234,0.200893918767894,178.081912011442,50.7920785851747,0.0549935330907644,0.035282557538892,0.534565223588545,0.219638483887575,0.577928232460315,3.73853063344719,4.76252178458708,50.7920785851747,0.054993533090755,0.00984405470159162,0.00328792452660318,0.00655613017498844,0.334001041874704,0.665998958125296,156.327725577704
898216259.233638,0.432166581717333,7.03522800097421e-08,0.00325330330763264,8.38486850410016e-11,27.8635541456157,169.172751647347,-28.6493346612821,0.0545774796846141,13.7072336201474,28.9657074321084,0.0838031041887709,0.458384636995194,0.713694329772209,-0.0421224627718408,0.714936289622347,6.01597547211602,2.91465315833531,27.2772414093,1.00000332969971,0.0172617914191093,0.00882308673829209,0.00843870468081725,0.511133898218968,0.488866101781032,13.2089961589698
1764205293.59321,1.10825736215858,1.13415901238643e-07,0.0080219698075404,2.41646222991565e-11,98.7018067234512,159.004058473398,-60.2568636931655,0.282846703953523,18.3527783214891,68.486327407904,0.995101356924534,0.342356083483157,0.438294125200496,-0.155074169980504,0.464919066484061,2.73775231880959,6.6524528578387,68.486327407904,0.995101356924537,0.00730072729731883,0.00157805029530219,0.00572267700201664,0.216149738380411,0.783850261619589,242.491237412193
524849527.056211,1.64014978548693,3.68085804731428e-07,0.00729007168040987,1.5654136587033e-10,8.33042052167495,84.5238311379691,-76.8261880949741,0.193658955414407,25.0329842023389,48.4874864472254,0.309586988427407,0.250996255835632,0.454219198999032,-0.31862300583191,0.554829433776438,3.49266000887313,5.11681015213314,46.4215120491198,-0.00838617284438215,0.0103119389482936,0.00317438295053443,0.00713755599775914,0.307835700584683,0.692164299415317,14.0127810190863
4383965416.44017,1.26543134731374,1.98904111183692e-07,0.000635583502860236,6.90866411259758e-11,33.193148880648,151.329112100852,27.5114942710426,0.0288435902841397,102.109443096525,53.6568080515633,0.0027639328109301,0.0615338319026974,0.485744394725157,0.0689990494477508,0.49062051101804,2.92634576629141,6.18508599027514,57.3440546724106,7.14990743959613,0.00931848199988915,0.00224303769244236,0.00707544430744679,0.240708485831602,0.759291514168398,8.31605966880684
4492457341.59347,0.970819104065801,1.03817410672236e-07,0.00713244787222995,1.54549159237211e-10,56.5664425593801,158.774092391821,-1.24088072712185,0.11115808263577,113.066081807137,25.9179950423173,0.0168943285207306,0.0555709122201401,0.719351866208114,-0.00204284959273126,0.719354766892911,6.12643495796288,2.86113748287778,25.9180567815669,0.0170074111567029,0.0192916156972648,0.00998285708070124,0.00930875861656354,0.517471280651555,0.482528719348445,54.6159810367657
